# time[us], force_in[kN], force_out[kN], force_avg[kN]
-1.557997558444729293e+03 -1.004651357171194355e-04 -4.276672017839453708e-05 -7.161592794775698966e-05
-1.556997527925288523e+03 -5.762207341269651737e-04 -5.074923542197252871e-04 -5.418565441733452304e-04
-1.555997497405847525e+03 -2.585332341270263324e-04 -1.969182692307365555e-04 -2.277257516788814304e-04
-1.554997466886406528e+03 -2.593379726517523265e-04 -3.541674824014419930e-04 -3.067527275265971597e-04
-1.553997436366965758e+03 -7.350644841269346214e-04 -8.196057692308327284e-04 -7.773351266788836207e-04
-1.552997405847524988e+03 -5.753966043125597826e-04 -8.187980960711902043e-04 -6.970973501918749935e-04
-1.551997375328083990e+03 -2.585332341270263324e-04 -6.647510694276052585e-04 -4.616421517773158225e-04
-1.550997344808642993e+03 -9.884596302271753956e-05 -6.622805397626378059e-04 -3.805632513926776660e-04
-1.549997314289202222e+03 5.915426587302274517e-05 1.160978393115908868e-04 8.762605259230681596e-05
-1.548997283769761452e+03 -9.968948412705689818e-05 4.257692307691367598e-04 1.630398733210399376e-04
-1.547997253250320455e+03 3.803321980282435870e-04 4.249140474235960606e-04 4.026231227259198238e-04
-1.546997222730879457e+03 1.329021962189262836e-03 -4.211107961351536231e-05 6.434554412878737807e-04
-1.545997192211438687e+03 8.533730158729800576e-04 -3.525901442307065987e-04 2.503914358211367566e-04
-1.544997161691997917e+03 1.012216765872946036e-03 -1.978019586877599275e-04 4.072074035925930813e-04
-1.543997131172556919e+03 6.936178752546871915e-04 -3.508037612422437290e-04 1.714070570062217313e-04
-1.542997100653115922e+03 3.759206796098364710e-04 1.135227872377639655e-04 2.447217334238001979e-04
-1.541997070133675152e+03 3.777725477811469000e-04 1.144254807692001021e-04 2.460990142751734943e-04
-1.540997039614234382e+03 3.777822434259865713e-04 -3.516684466249924909e-04 1.305689840049704020e-05
-1.539997009094793384e+03 1.013166939070772772e-03 -4.124639423076653937e-05 4.859602724200031299e-04
-1.538996978575352387e+03 1.013176634715685139e-03 -4.312779759102698570e-05 4.850244185623290801e-04
-1.537996948055911616e+03 1.328934701385416257e-03 -3.506897367961716032e-04 4.891224822946223542e-04
-1.536996917536470846e+03 8.504352354757230932e-04 4.276886422780617515e-04 6.390619388768924766e-04
-1.535996887017029849e+03 3.768417658730718227e-04 7.351745651860731867e-04 5.560081655295724505e-04
-1.534996856497588851e+03 5.715696302853876995e-05 1.154041905980243780e-04 8.628057681328156719e-05
-1.533996825978148081e+03 -4.183853311940770596e-04 5.844057413670934471e-04 8.301020508650819372e-05
-1.532996795458707311e+03 -7.350644841269346214e-04 1.673139658575412657e-03 4.690375872242390177e-04
-1.531996764939266313e+03 -5.741652574132994052e-04 1.669129798888613347e-03 5.474822707376569711e-04
-1.530996734419825316e+03 -9.865205012531140288e-05 1.515472355769254247e-03 7.084101528219714696e-04
-1.529996703900384546e+03 2.190451455196868369e-04 1.515472355769254247e-03 8.672587506444705014e-04
-1.528996673380943776e+03 3.757849405816477166e-04 8.896776896137956062e-04 6.327313150977216614e-04
-1.527996642861502778e+03 5.378185577457132412e-04 4.257692307691367598e-04 4.817938942574250005e-04
-1.526996612342061781e+03 1.011140549291698280e-03 5.803863796430158185e-04 7.957634644673570491e-04
-1.525996581822621010e+03 3.746699414208959377e-04 -4.231062239410614251e-05 1.661796595133949010e-04
-1.524996551303180240e+03 2.179980158729921658e-04 -1.979919994312134433e-04 1.000300822088936125e-05
-1.523996520783739243e+03 -9.747887709537788497e-05 -3.515069119930216480e-04 -2.244928945441997733e-04
-1.522996490264298245e+03 5.345705167122901964e-04 1.155182150440931292e-04 3.250443658781916492e-04
-1.521996459744857475e+03 2.179980158731023750e-04 2.700973557691701047e-04 2.440476858211362398e-04
-1.520996429225416705e+03 5.915426587302274517e-05 -4.346987092910169838e-05 7.842197471960523394e-06
