# time[us], force_in1[N], force_in2[N], force_out1[N], force_out2[N]
-9.644544344747605464e+02 -1.162774890399283123e+01 3.396978948293701617e+00 -2.603637538156582565e+01 -5.086191345723772628e+00
-9.634544039553195489e+02 -9.058653090115473816e+00 3.187380380037435845e+00 -1.756380773141009399e+01 3.877104999956315190e+00
-9.624543734358785514e+02 -9.256806375914552021e+00 7.997197223334735483e+00 8.468937080288629460e+00 1.244082610758521845e+01
-9.614543429164377812e+02 -2.341203648433279660e+00 9.877266899216134988e+00 -5.078187881561722072e+00 1.682264733423619063e+01
-9.604543123969970111e+02 6.747851484936172817e+00 -2.043037474977356549e+00 2.175400185455118873e-01 2.120446856088773657e+01
-9.594542818775560136e+02 1.839512654902963718e+01 -2.871323846524253653e+00 1.079677173740465967e+01 2.299480098626920466e+01
-9.584542513581150160e+02 7.927752174678131425e+00 1.510810591679861226e+01 -3.601774705559979139e+00 1.403083600732548142e+01
-9.574542208386742459e+02 1.607802999081743067e+00 1.656603031823597050e+01 -1.629520393860207506e+01 1.005006101190509504e+01
-9.564541903192334757e+02 3.979806588931651401e+00 4.644462456351656776e+00 6.459514282372451621e-01 7.859217261903975071e+00
-9.554541597997924782e+02 7.927354276514369857e+00 -7.679877202135624970e+00 1.015514960622921770e+01 9.849203579658198038e+00
-9.544541292803514807e+02 3.780724874082854736e+00 4.654067431096218788e-01 -5.078187881561722072e+00 1.025105217080512077e+01
-9.534540987609107106e+02 3.780724874082854736e+00 1.098554461019655593e+00 -4.650629314754848309e+00 7.658092376351821606e+00
-9.524540682414699404e+02 1.607802999081743067e+00 6.121198785545465704e+00 -4.208128815626486774e-01 6.829101752911616030e-01
-9.514540377220289429e+02 -5.651188759162808495e-01 1.741004009208685233e+01 -2.749500381563839913e+00 -9.868925076952773878e+00
-9.504540072025879454e+02 3.980602385261150733e+00 2.367553513648952901e+01 1.907874618435233538e+00 -9.264480607074867535e+00
-9.494539766831471752e+02 7.726548336286922058e+00 1.447551974897098326e+01 1.479178927780468999e+00 -3.095001488095402209e+00
-9.484539461637064051e+02 -5.111105402535561559e+00 1.992269593579319675e+01 -9.950052867372095378e+00 -7.023642192794868899e-01
-9.474539156442654075e+02 -6.883609091574469652e+00 2.303915850561051926e+01 -9.091666502695886720e+00 1.084758766438918887e+00
-9.464538851248244100e+02 -1.643027917886247802e-01 2.338878205522274101e+00 9.753034185519286581e+00 -5.689967182338328655e+00
-9.454538546053836399e+02 3.780724874082854736e+00 -8.100197438814008777e+00 1.247673008218109025e+01 -1.145398709054759401e+01
-9.444538240859428697e+02 5.752973441578146385e+00 -9.877444826283585666e-01 -8.052051024758418052e+00 -5.488173663521828338e+00
-9.434537935665018722e+02 -3.643129356885487780e-01 5.062255717659805754e+00 -1.396253650513657796e+01 -6.869302531862636840e+00
-9.424537630470608747e+02 3.579786301133210280e+00 -3.712525869966094128e+00 -7.191532552867944794e+00 8.061813140635532449e+00
-9.414537325276201045e+02 1.607802999081743067e+00 -8.738118332426084933e+00 2.338844556789088092e+00 1.005006101190509504e+01
-9.404537020081793344e+02 -3.140448427700094136e+00 -1.291240086996426228e+01 6.349622508781733288e+00 7.656353929868157770e+00
-9.394536714887383368e+02 -4.709626154802010412e+00 -9.973107351147971755e+00 4.452331368573823056e+00 5.871370570591796678e+00
-9.384536409692973393e+02 -2.939509854749623674e+00 9.280058386586420127e+00 -4.692702897133151474e+00 1.224090476190621679e+01
-9.374536104498565692e+02 -7.083884500916528104e+00 2.447995562953594728e+01 -2.089899197727433844e+01 1.244416927390041394e+01
-9.364535799304157990e+02 -2.536306381640224483e+00 -1.082596153879586787e+01 2.665865443211640340e+01 1.203750652325988924e+01
-9.354535494109748015e+02 -7.891352508909476704e+00 1.528421049098580342e+00 -5.727201317745448605e+00 1.483881244250284226e+01
-9.344535188915338040e+02 -1.774649424119492025e+01 -1.840177507712312810e+00 2.124354570981403345e+00 2.100427976190447410e+01
-9.334534883720930338e+02 -1.319838559103013864e+01 6.129200874221268691e+00 -1.758811375365402085e+01 1.901723543050806242e+01
-9.324534578526522637e+02 -2.131246050429152827e+00 1.902834566542155992e+00 -7.784684780031059681e+00 2.059641347139108447e+01
-9.314534273332112662e+02 5.548851683314743433e+00 -1.708387565708716238e+01 1.436165500054265820e+01 9.641927268085167313e+00
-9.304533968137702686e+02 -5.651188759162808495e-01 -8.098091626004480403e+00 -1.439293788156317788e+01 3.477529761904846861e+00
-9.294533662943294985e+02 2.013128595739727356e+00 -3.927038001443601711e+00 -6.972494071668386972e+00 7.859217261903975071e+00
-9.284533357748887283e+02 8.126568624085077630e+00 -3.283220831967350595e+00 -4.208128815626486774e-01 6.732818563019673519e-01
-9.274533052554477308e+02 1.029949049908310243e+01 5.916934943073065334e+00 -5.078187881561722072e+00 -7.476688988097643929e+00
-9.264532747360067333e+02 5.547525356099570537e+00 2.112713909834091908e+00 -4.860570805171279929e+00 -7.067217977750440028e+00
-9.254532442165659631e+02 -1.587322174900364924e-01 -1.521236961996217119e+01 -8.563313153047568127e-01 5.873242743731407423e+00
-9.244532136971251930e+02 7.923242662150888016e+00 -9.966789912722514799e+00 -1.250005309626500960e+01 3.272526803427277198e+00
-9.234531831776841955e+02 -5.114421220571230720e+00 8.864090163042989801e+00 -2.669050587506175276e+01 1.081549326775852693e+00
-9.224531526582431979e+02 2.218576681218590529e+00 5.201379750567573623e+00 -6.462778306842192677e+00 -5.285845238096523069e+00
-9.214531221388024278e+02 5.342475168787433226e+00 -3.001833948010581565e+01 2.788717460928114278e+01 -2.889597349659160042e+00
-9.204530916193616576e+02 -4.707106133095840583e+00 8.650420356686995049e+00 -1.162731054301107392e+01 1.081148146818467604e+00
-9.194530610999206601e+02 1.607802999081743067e+00 1.238725538003560445e+01 3.580725939165353200e+00 -5.697188421579226336e+00
-9.184530305804796626e+02 1.811924757345433568e+00 9.223061053218232885e+00 -4.640679481084746705e+00 -1.466663619327835910e+01
-9.174530000610388925e+02 3.576470483098239672e+00 -6.228691401688714713e+00 9.112833459154597193e+00 -2.020987339800181459e+01
-9.164529695415981223e+02 -2.942427774622641934e+00 -5.579820281474113131e+00 -3.625654306361757673e+00 -1.363707469469730604e+01
-9.154529390221571248e+02 -2.533521094487142911e+00 -4.361958540261182904e+00 -1.872777894839859458e+00 -2.270175494687660223e+00
-9.144529085027161273e+02 -7.697711650653550342e-01 -1.017919623138870477e+01 6.126604094112749976e+00 7.652877036898840579e+00
-9.134528779832753571e+02 -2.942825672784594282e+00 3.837655375456127782e+00 -7.626340284205959108e+00 5.461899560245883301e+00
-9.124528474638345870e+02 -1.918370532552827523e+00 7.353520441381826700e+00 8.968293771777444690e-01 1.286686011906839289e+00
-9.114528169443935894e+02 1.288251274871017671e+01 -4.580682297356704957e+00 2.286606211843602665e+01 8.732032019817996815e-01
-9.104527864249525919e+02 1.599752484394348251e+01 -1.477801063122298331e+01 1.478054299800702509e+01 -5.285845238096523069e+00
-9.094527559055118218e+02 3.986040326838818704e+00 -6.012494619964002140e+00 -2.309433452426860267e+00 -7.062671271562092734e+00
-9.084527253860710516e+02 5.748198663607078096e+00 -1.312986113937089705e+01 6.345074013390167522e+00 1.493828596826449973e+00
-9.074526948666300541e+02 1.402222280883234085e+00 -7.659661399172406071e+00 4.456879863965389710e+00 5.668373511902854212e+00
-9.064526643471890566e+02 -2.943754101835018400e+00 8.874116300362591137e-01 1.466954846417894975e+00 3.270119723678984514e+00
-9.054526338277482864e+02 -2.120502799992770804e+00 -4.148288733906971615e+00 2.349078671420103959e+00 -1.111701502972567868e+00
-9.044526033083075163e+02 5.953646749083966405e+00 -5.576450980979700489e+00 3.353585450551161085e+00 -6.964802465638653128e-01
-9.034525727888665187e+02 3.574613624998379091e+00 3.405542587050865322e+00 -1.461382418901577651e+01 -1.319780174461365307e+00
-9.024525422694255212e+02 1.814046880888130930e+00 4.508064409671528883e-01 -1.328779564189167495e+01 -9.667532738095651723e+00
-9.014525117499847511e+02 8.126568624085077630e+00 -6.230937602018323140e+00 6.565249618437616341e+00 -7.268610316608846489e+00
-9.004524812305439809e+02 3.574215726834617968e+00 -5.356744511240187023e+00 -1.084751068248354322e+00 -3.095001488095402209e+00
-8.994524507111029834e+02 1.607802999081743067e+00 7.787317880036519924e+00 -4.413823273431469296e+00 -6.958116133002284487e-01
-8.984524201916619859e+02 1.814577411773805382e+00 2.749652090803524018e+00 9.115534128297179350e+00 -1.112637589541460192e+00
-8.974523896722212157e+02 3.573817828669867858e+00 -3.274516805692027077e+00 1.332957296809905223e+01 -4.869305818959608345e-01
-8.964523591527804456e+02 2.021882355349565508e+00 4.829914371067590473e+00 1.907874618438542669e+00 1.265839937140597904e+01
-8.954523286333394481e+02 3.159207941518765050e+00 -1.335097148431715119e+01 9.115960549739609675e+00 1.422286748050277438e+01
-8.944522981138984505e+02 -5.118267569493153424e+00 -1.203469809116418432e+01 6.565249618437616341e+00 7.650202503846285751e+00
-8.934522675944576804e+02 -4.910962625915416879e+00 6.804745623351336370e+00 2.013484995812936607e+00 5.668373511902854212e+00
-8.924522370750169102e+02 -4.080681789837369067e+00 1.960977215238235516e+01 -2.846925185413353532e+01 3.268247550543195157e+00
-8.914522065555759127e+02 1.506073993256802801e+01 -2.255196958448339473e+01 2.075996661166257695e+01 1.286686011906839289e+00
-8.904521760361349152e+02 1.143323500176775021e+01 -8.632546916928173886e+00 2.900157316199478252e+00 6.297022505910272905e+00
-8.894521455166941450e+02 -5.651188759162808495e-01 1.336645833622637447e+01 6.935684893706358656e-01 1.140217119662519174e+01
-8.884521149972533749e+02 -2.738040750914304766e+00 -3.112170208526924831e-01 -4.087610869562960048e+00 -2.885184370122941822e+00
-8.874520844778123774e+02 4.405424991967164416e+00 8.764836185980081851e+00 -6.067912050671389501e+00 8.667843226556671832e-01
-8.864520539583713798e+02 1.009112449373710518e+01 -1.269185207510009938e+01 1.099932192280978960e+01 -9.877617309374063126e+00
-8.854520234389306097e+02 8.126568624085077630e+00 -3.271147505194655913e+00 1.237540110106862379e+00 -8.616441248442040290e+00
-8.844519929194898396e+02 8.126568624085077630e+00 -4.375014579675469584e+00 6.971220013923304926e-01 1.203055273732324615e+01
-8.834519624000488420e+02 5.953646749083966405e+00 -1.587527949223818702e+01 1.565627050136344067e+01 1.026054676314119263e+01
-8.824519318806078445e+02 5.744750212849206505e+00 -2.649110302501821934e+01 1.099875336088584277e+01 7.859217261903975071e+00
-8.814519013611670744e+02 8.544626961993358805e+00 -2.211227586996243133e+01 6.565249618437616341e+00 1.047156742098750293e+01
-8.804518708417263042e+02 7.289921417378940838e+00 -2.396946237999048179e+01 6.341094079922547699e+00 1.860254908071016899e+01
-8.794518403222853067e+02 -7.083884500916528104e+00 -7.426337339934112158e+00 6.340951939441350049e+00 1.443174851190733676e+01
-8.784518098028443092e+02 -6.665030366675957829e+00 5.487349130038611911e+00 -7.855755020519115561e+00 9.416597858406193566e+00
-8.774517792834035390e+02 2.026922398764460009e+00 1.624998403874238796e-04 -6.957711461645798678e+00 -1.115445849246145205e+00
-8.764517487639627689e+02 1.008979816652390582e+01 -1.543432229003098222e+01 -1.960887811239536982e-01 -2.883579650291408836e+00
-8.754517182445217713e+02 1.188153068516737632e+00 -1.202402863960063328e+01 -8.081474104324184893e+00 1.498241576363658067e+00
-8.744516877250807738e+02 -7.083884500913439908e+00 -1.412557119964917396e+00 -9.510554500162058389e+00 7.859217261903975071e+00
-8.734516572056400037e+02 -4.700872395188682162e+00 -1.634930952596366893e+00 -7.406875381562914029e+00 7.859217261903975071e+00
-8.724516266861992335e+02 1.607802999081743067e+00 -1.412557119964917396e+00 -4.627602556836121650e+00 3.265573017490643437e+00
-8.714515961667582360e+02 -7.754743720858519040e-01 -4.157835085311079482e+00 1.907874618435233538e+00 1.286686011906839289e+00
-8.704515656473172385e+02 -5.121450754807199246e+00 -1.038963712476931178e+01 -8.719667682143118492e-01 3.901978157346057685e+00
-8.694515351278764683e+02 -7.083884500916528104e+00 -3.043719721821585900e+00 -1.018700104917668092e+01 5.456015587533081579e+00
-8.684515046084356982e+02 -1.206198843391625886e+01 8.233469420504063052e+00 -1.905031288156225244e+01 5.455881860878140976e+00
-8.674514740889947007e+02 -2.250522365297029026e+01 9.194421999017800218e+00 -8.379542692950908034e+00 -5.923721371127531832e+00
-8.664514435695537031e+02 -2.208331896613789169e+01 -8.759176460517215546e+00 1.565385411318913356e+01 -1.143285827943142685e+01
-8.654514130501129330e+02 -1.752619129091914729e+01 -7.641972571576731710e+00 1.229011681247680787e+00 -3.095001488095402209e+00
-8.644513825306721628e+02 -9.045522450695546723e+00 2.963743059721103634e+00 -6.954015809141532500e+00 -3.308028045730928568e+00
-8.634513520112311653e+02 -4.488129510033280312e+00 -6.683827743475734273e+00 4.689705971821159558e+00 -9.667532738095651723e+00
-8.624513214917901678e+02 3.780724874082854736e+00 -1.728842027460181896e+01 8.213794916917478872e+00 -5.072551227154744602e+00
-8.614512909723493976e+02 1.396121175697988104e+00 -1.016431515420608989e+01 -2.749500381560531004e+00 -6.907300005003734755e-01
-8.604512604529086275e+02 -3.533044198116015999e-01 -8.760861110762329318e+00 -4.208128815626486774e-01 -3.735685880833211403e+00
-8.594512299334676300e+02 3.780724874082854736e+00 -4.666459072445487521e+00 -5.532468858794349131e+00 -6.835603415397343952e+00
-8.584511994140266324e+02 3.992804595631660902e+00 1.928716163003586459e+01 -8.826432365173111805e+00 8.590281768022606235e-01
-8.574511688945858623e+02 5.953646749083966405e+00 1.171339528115274398e+01 3.781712579280176012e+00 -7.262726343893224801e+00
-8.564511383751450921e+02 8.126568624085077630e+00 -9.630362790029614040e-01 -6.443589341913532387e+00 -6.900613672377328145e-01
-8.554511078557040946e+02 -1.202551735053680737e+00 1.721209368803695128e+01 -3.489570728048047243e+01 -1.118387835603955827e+00
-8.544510773362630971e+02 -4.485742121046758513e+00 6.887153097943300217e+00 -6.267619426454687392e+00 -3.095001488095402209e+00
