# time[us], force_in1[N], force_in2[N], force_out1[N], force_out2[N]
-2.401498290911310505e+03 -3.260074073284394025e+00 8.374081462958820055e+00 -8.182102478651740896e+00 -1.007317570738064383e+01
-2.400498260391869735e+03 -1.256308100573932496e+00 7.478933936454309261e+00 -8.476233233263560152e+00 -9.647767952454174178e+00
-2.399498229872428965e+03 1.390786874289270836e+00 5.482692060654914101e+00 -8.558452393744062192e+00 -8.481949001726908577e+00
-2.398498199352987740e+03 3.941655879852063116e+00 2.489388075619707319e+00 -8.595313170240839185e+00 -6.431286849450885690e+00
-2.397498168833546970e+03 5.722217508741543668e+00 -1.221218413408877712e+00 -8.637074017077210897e+00 -3.484646112233582560e+00
-2.396498138314106200e+03 6.272791603346332678e+00 -5.150184380842897092e+00 -8.642350864661334953e+00 1.474286693194420683e-01
-2.395498107794664975e+03 5.417786028832766831e+00 -8.645427341816601441e+00 -8.560619503192558710e+00 4.046755110787333187e+00
-2.394498077275224205e+03 3.259649376388465747e+00 -1.107327565322458973e+01 -8.415639357832242595e+00 7.702074481017836760e+00
-2.393498046755783434e+03 1.189483934059164250e-01 -1.201174664925343549e+01 -8.333942052107008891e+00 1.066319814291793833e+01
-2.392498016236342664e+03 -3.543921212346599514e+00 -1.137049045279633752e+01 -8.489276889692860095e+00 1.266053499514885594e+01
-2.391497985716901894e+03 -7.194944015598291998e+00 -9.399778079451742485e+00 -8.980346843405179413e+00 1.364906524980432501e+01
-2.390497955197460669e+03 -1.028015683279451586e+01 -6.614139566756239930e+00 -9.709127729201798118e+00 1.378045623710059608e+01
-2.389497924678019899e+03 -1.229499231429111639e+01 -3.668854058485751413e+00 -1.034816228769741464e+01 1.332993943394136416e+01
-2.388497894158579129e+03 -1.288641645243546385e+01 -1.206577962288439609e+00 -1.044022228614963588e+01 1.260365135310602369e+01
-2.387497863639137904e+03 -1.195725003490547245e+01 3.071846302611269675e-01 -9.580788865808330002e+00 1.184827557295885647e+01
-2.386497833119697134e+03 -9.712951296131548062e+00 7.116675187805879821e-01 -7.577649668389994986e+00 1.118785849242608066e+01
-2.385497802600256364e+03 -6.621616632277929071e+00 1.824259537908899109e-01 -4.513139262296134824e+00 1.060872901084483289e+01
-2.384497772080815594e+03 -3.316006992402532383e+00 -8.583420865500800412e-01 -7.077175188834166075e-01 9.992741497952819074e+00
-2.383497741561374824e+03 -4.843146388653147838e-01 -1.920562449693098639e+00 3.371528503822878609e+00 9.176292718209408505e+00
-2.382497711041933599e+03 1.240123336797302356e+00 -2.638955580498005826e+00 7.214213084034055257e+00 8.007741707587488378e+00
-2.381497680522492828e+03 1.410841837041285629e+00 -2.899513523052738240e+00 1.035787645688820824e+01 6.389701453256582120e+00
-2.380497650003052058e+03 -8.539914447376673046e-02 -2.851108028175809661e+00 1.245806237710573150e+01 4.309023423643599138e+00
-2.379497619483610833e+03 -2.934269887132264554e+00 -2.802496624638711520e+00 1.333476617276575205e+01 1.861753696148230830e+00
-2.378497588964170063e+03 -6.433210620529068002e+00 -3.052516725847355339e+00 1.299374487533753708e+01 -7.280773437509612256e-01
-2.377497558444729293e+03 -9.687717462950502068e+00 -3.733976429884160009e+00 1.161874048174328422e+01 -3.109731001489204782e+00
-2.376497527925288523e+03 -1.189774662032569630e+01 -4.752277717909032084e+00 9.528835977419957359e+00 -4.848914930569145021e+00
-2.375497497405847753e+03 -1.261175891929798532e+01 -5.849512575855801089e+00 7.097667599584268849e+00 -5.529625053820674374e+00
-2.374497466886406528e+03 -1.184031664828525621e+01 -6.740573315535602461e+00 4.644415191012825517e+00 -4.906473237884133809e+00
-2.373497436366965758e+03 -9.992716720910259198e+00 -7.218514053283548115e+00 2.335453194330726401e+00 -3.056485151922271992e+00
-2.372497405847524988e+03 -7.683917341858038874e+00 -7.165492207452293094e+00 1.583568341199250717e-01 -4.438500901126133380e-01
-2.371497375328083763e+03 -5.508605158877693420e+00 -6.497806970356448275e+00 -1.994935415022765168e+00 2.175344722898388650e+00
-2.370497344808642993e+03 -3.872757644976114300e+00 -5.129878659968377441e+00 -4.172053784571174262e+00 4.003872337126881398e+00
-2.369497314289202222e+03 -2.924124777038449086e+00 -3.013933704479095255e+00 -6.229639515341025557e+00 4.509983920617877118e+00
-2.368497283769761452e+03 -2.569940913795488502e+00 -2.300235299051336668e-01 -7.821457333810037049e+00 3.648503257301368485e+00
-2.367497253250320682e+03 -2.545366170710947173e+00 2.956039158625306307e+00 -8.523336014976420572e+00 1.892470310506585651e+00
-2.366497222730879457e+03 -2.503397662769976328e+00 6.123962631842997162e+00 -8.021108582523133634e+00 5.665437150473415229e-02
-2.365497192211438687e+03 -2.116014135468128110e+00 8.800021791920109138e+00 -6.256143388493825341e+00 -1.017904039310912223e+00
-2.364497161691997917e+03 -1.181267079291632660e+00 1.056816180923614290e+01 -3.476948564099302974e+00 -7.901070584063792923e-01
-2.363497131172556692e+03 2.895098721276034293e-01 1.115717162155883990e+01 -2.107074585611307671e-01 7.812493013627449523e-01
-2.362497100653115922e+03 2.053529592403077864e+00 1.050307447907880309e+01 2.827687528077629242e+00 3.248290547207373535e+00
-2.361497070133675152e+03 3.718533218526990591e+00 8.778666819265328769e+00 4.893063790910317401e+00 5.881342204953004860e+00
-2.360497039614234382e+03 4.890339877896797027e+00 6.364105472735332114e+00 5.415157805854548201e+00 7.960990120411532089e+00
-2.359497009094793611e+03 5.298625341322826365e+00 3.753051347432402096e+00 4.182603924893123271e+00 9.006171842990022824e+00
-2.358496978575352387e+03 4.835489887082020211e+00 1.436051394469604503e+00 1.423211520976908950e+00 8.843212872377865352e+00
-2.357496948055911616e+03 3.520013354810148432e+00 -1.849209401524284924e-01 -2.259084714487142431e+00 7.534745752289546239e+00
-2.356496917536470846e+03 1.457981005857098333e+00 -8.415590565431397829e-01 -6.062964091869263328e+00 5.276179469586228521e+00
-2.355496887017029621e+03 -1.151571789991022277e+00 -4.396777048575460922e-01 -9.210603575527018805e+00 2.356260905398605665e+00
-2.354496856497588851e+03 -3.977689512123541160e+00 8.841202702801310709e-01 -1.113475817445112526e+01 -8.160316560825175980e-01
-2.353496825978148081e+03 -6.552177892450219865e+00 2.723819678023499335e+00 -1.158024792317672613e+01 -3.696220110017009564e+00
-2.352496795458707311e+03 -8.353946350827037293e+00 4.444894138582273335e+00 -1.059894842887325872e+01 -5.673054156076991816e+00
-2.351496764939266541e+03 -8.973455924478315637e+00 5.336328329530937609e+00 -8.459130070431259085e+00 -6.223696437118570124e+00
-2.350496734419825316e+03 -8.273554251274601867e+00 4.844209138736823128e+00 -5.531746801350863052e+00 -5.092282955710124348e+00
-2.349496703900384546e+03 -6.446744312725331660e+00 2.802513865098000601e+00 -2.219550852882157699e+00 -2.409588795278557072e+00
-2.348496673380943776e+03 -3.935483001755859522e+00 -4.422451560092403589e-01 1.051275269128588707e+00 1.302997127593420679e+00
-2.347496642861502551e+03 -1.274669628500811225e+00 -4.082530090943951251e+00 3.819524191590489615e+00 5.255948109460372386e+00
-2.346496612342061781e+03 1.051600098219105828e+00 -7.075631267656278922e+00 5.633725494724010296e+00 8.607055683705572946e+00
-2.345496581822621010e+03 2.690501349778737783e+00 -8.469038293159544040e+00 6.195483618815990745e+00 1.070134474756452292e+01
-2.344496551303180240e+03 3.447952609136842650e+00 -7.708951128842846501e+00 5.544900767396621966e+00 1.124673349958421120e+01
-2.343496520783739470e+03 3.291720505878847014e+00 -4.822020852879976616e+00 4.153556237240205284e+00 1.035258164506701917e+01
-2.342496490264298245e+03 2.345024865142281811e+00 -4.097607270389476142e-01 2.821957980931861787e+00 8.423331691730366444e+00
-2.341496459744857475e+03 8.707434048074227384e-01 4.538911081755237831e+00 2.394726642204272782e+00 5.979872286416256344e+00
-2.340496429225416705e+03 -7.600194949044946080e-01 8.951507298273915225e+00 3.408909876505696879e+00 3.511183579729050486e+00
-2.339496398705975480e+03 -2.124535070622476596e+00 1.198319708726417687e+01 5.828881983651944765e+00 1.408795350062793883e+00
-2.338496368186534710e+03 -2.836600004273041264e+00 1.322165843896270587e+01 9.000749004287659005e+00 -4.491693915407948129e-02
-2.337496337667093940e+03 -2.657454379427590219e+00 1.272734125555696671e+01 1.187715450903963266e+01 -6.954411172104719707e-01
-2.336496307147653170e+03 -1.599298322426190078e+00 1.093608169706700473e+01 1.343187171200319519e+01 -5.605218760180562532e-01
-2.335496276628212399e+03 2.448622604983631545e-02 8.496640464818931093e+00 1.307501617128243332e+01 1.402860841511441026e-01
-2.334496246108771174e+03 1.645463763299435778e+00 6.099603865348960596e+00 1.087258133476151833e+01 1.022420090396161996e+00
-2.333496215589330404e+03 2.594407369090023785e+00 4.321339090795083493e+00 7.476654483590817080e+00 1.651507173169740161e+00
-2.332496185069889634e+03 2.323596425306419633e+00 3.497921507496688065e+00 3.823956749803202992e+00 1.700938957410871089e+00
-2.331496154550448409e+03 6.133855711333522365e-01 3.654590245485248801e+00 7.713186936471092547e-01 1.087569759977474071e+00
-2.330496124031007639e+03 -2.326455013998766752e+00 4.522831584726177745e+00 -1.159011915676425808e+00 1.881369201949776790e-02
-2.329496093511566869e+03 -5.908996304394644739e+00 5.660919913603231102e+00 -1.847369240326723672e+00 -1.086530107987309979e+00
-2.328496062992126099e+03 -9.355230670672593618e+00 6.648128662135835754e+00 -1.496841922306040518e+00 -1.781399446433260758e+00
-2.327496032472685329e+03 -1.193089487325041453e+01 7.266197643093669001e+00 -4.936438853907853530e-01 -1.793791360244604727e+00
-2.326496001953244104e+03 -1.313666285127308875e+01 7.561587852800056631e+00 7.321987006730498182e-01 -1.149788544860100847e+00
-2.325495971433803334e+03 -1.278939910510714562e+01 7.740974734347131125e+00 1.826459513954016955e+00 -1.610266867789501011e-01
-2.324495940914362563e+03 -1.099574166329919045e+01 7.965327398811015591e+00 2.596010267594762055e+00 7.046307981339511306e-01
-2.323495910394921339e+03 -8.064269059679952889e+00 8.181283693306113491e+00 3.032675245552680199e+00 1.000251461476316051e+00
