# time[us]  F_in[strain]  F_out[strain]
# time is the SOURCE FILE's own base (analysis t=0 sits at 0.0 us there)
# F_in: in bar, c0=5126.265 mm/ms, x=[935.0, 120.0] mm, reconstructed at ITS OWN face (x=0)
# F_out: out bar, c0=5126.265 mm/ms, x=[119.25, 1196.25] mm, reconstructed at ITS OWN face (x=0)
# eta=1, x=0 is the impact interface
0.000000000000000000e+00 -2.650671367686252422e-08 1.634722913927579211e-08
1.546732346717088757e-01 -2.567403019949353568e-08 1.678149241077909774e-08
3.093464693434177515e-01 -2.483767421676347603e-08 1.721626991407813603e-08
4.640197040151266550e-01 -2.399816807392655559e-08 1.765138735392623653e-08
6.186929386868355030e-01 -2.315549737085202890e-08 1.808681885245148318e-08
7.733661733585444065e-01 -2.231018667169533946e-08 1.852238207778863195e-08
9.280394080302533100e-01 -2.146222303952179515e-08 1.895804323789165225e-08
1.082712642701962213e+00 -2.061213212605040595e-08 1.939361211319368157e-08
1.237385877373671006e+00 -1.975990133303086329e-08 1.982904717505218995e-08
1.392059112045379798e+00 -1.890605628454607621e-08 2.026415052362321818e-08
1.546732346717088813e+00 -1.805058361661047516e-08 2.069887313063517646e-08
1.701405581388797605e+00 -1.719400783374549895e-08 2.113300968117935754e-08
1.856078816060506620e+00 -1.633631372875514786e-08 2.156650394128205271e-08
2.010752050732215412e+00 -1.547802362497568522e-08 2.199914350287770021e-08
2.165425285403924427e+00 -1.461911942810313880e-08 2.243086527576298855e-08
2.320098520075632997e+00 -1.376012025589417463e-08 2.286145013546216418e-08
2.474771754747342012e+00 -1.290100412316177895e-08 2.329082853854211321e-08
2.629444989419051026e+00 -1.204228596069280552e-08 2.371877507302614475e-08
2.784118224090759597e+00 -1.118393893492387794e-08 2.414521419677288481e-08
2.938791458762468611e+00 -1.032647285736934411e-08 2.456991468923638367e-08
3.093464693434177626e+00 -9.469855140326998633e-09 2.499279551213216890e-08
3.248137928105886196e+00 -8.614589598616414284e-09 2.541362016203051050e-08
3.402811162777595211e+00 -7.760637041794029266e-09 2.583230265270178098e-08
3.557484397449304225e+00 -6.908494469591664619e-09 2.624860176732995357e-08
3.712157632121013240e+00 -6.058115302030629881e-09 2.666242716143120308e-08
3.866830866792722254e+00 -5.209988969519224719e-09 2.707353351441584559e-08
4.021504101464430825e+00 -4.364060781478863364e-09 2.748182675172399102e-08
4.176177336136139395e+00 -3.520811912394315635e-09 2.788705809451064797e-08
4.330850570807848854e+00 -2.680178909714098718e-09 2.828913040065813263e-08
4.485523805479557424e+00 -1.842634076491347844e-09 2.868779211088975345e-08
4.640197040151265995e+00 -1.008104618951460652e-09 2.908294370784590077e-08
4.794870274822974565e+00 -1.770534268413517921e-10 2.947433155770177154e-08
4.949543509494684024e+00 6.506021388693469076e-10 2.986185448576686327e-08
5.104216744166393482e+00 1.474409067945553714e-09 3.024525751296985273e-08
5.258889978838102053e+00 2.294460272665690976e-09 3.062443854655459105e-08
5.413563213509811511e+00 3.110313011297277026e-09 3.099914201006879061e-08
5.568236448181519194e+00 3.922070819432571693e-09 3.136926564854905638e-08
5.722909682853228652e+00 4.729301535127222972e-09 3.173455405008800564e-08
5.877582917524937223e+00 5.532119589662038562e-09 3.209490556500863903e-08
6.032256152196646681e+00 6.330103634050877714e-09 3.245006571779307072e-08
6.186929386868355252e+00 7.123379189666413542e-09 3.279993423810003638e-08
6.341602621540063822e+00 7.911535876565231364e-09 3.314425836272542032e-08
6.496275856211772393e+00 8.694710424023089962e-09 3.348293997738358853e-08
6.650949090883481851e+00 9.472503500644316201e-09 3.381572880695338223e-08
6.805622325555190422e+00 1.024506308606991322e-08 3.414252966697048032e-08
6.960295560226899880e+00 1.101200090301492268e-08 3.446309554099487061e-08
7.114968794898608451e+00 1.177347615060302560e-08 3.477733494074422719e-08
7.269642029570317021e+00 1.252911153924008675e-08 3.508500486943289976e-08
7.424315264242026480e+00 1.327907738635017574e-08 3.538601828919548023e-08
7.578988498913735050e+00 1.402300725462598349e-08 3.568013696940037878e-08
7.733661733585444509e+00 1.476108241156960856e-08 3.596727906010122938e-08
