# time[us], force_in1[N], force_in2[N], force_out1[N], force_out2[N]
-9.564541903192334757e+02 6.749588827838765681e+00 3.824326994540935942e+00 -9.178294096937023028e+00 9.429990705128179940e+00
-9.554541597997924782e+02 -5.176407341512841154e-02 -5.858930316394280524e+00 2.068422697826907353e+01 4.807274286432108745e+00
-9.544541292803514807e+02 -1.332103121427799763e+01 1.871989217033005204e+01 -6.141491148751740070e+00 -1.246852221991749277e+00
-9.534540987609107106e+02 -1.261149920777755185e+01 4.666708273149983377e+00 1.679463800036510079e+01 -4.117321565975633924e+00
-9.524540682414699404e+02 -1.734760147727965673e+01 1.663603596954072117e+01 -6.996267145212166305e+00 -9.527420515344953600e+00
-9.514540377220289429e+02 -1.047399026939620903e+01 1.419424774623188590e+01 2.157522974118181835e+00 -2.435949617157032510e+00
-9.504540072025879454e+02 -8.735546663218519470e+00 8.187795754839310547e+00 2.821319020323593829e+00 4.252576131332532761e+00
-9.494539766831471752e+02 -5.178761499482487096e+00 1.051317464606707830e+01 -2.156099486664315279e+00 6.881642121993095884e+00
-9.484539461637064051e+02 2.804030631078934910e+00 -8.129221144538687938e+00 1.841049098821827101e+01 5.682488482550573927e+00
-9.474539156442654075e+02 7.378427086628350118e+00 -5.023040803570869572e-01 1.077413578770590874e+01 6.570807890625580683e+00
-9.464538851248244100e+02 3.513403478315763717e+00 1.687991717032984695e+01 -9.031718832938668839e+00 1.635986631628016852e+01
-9.454538546053836399e+02 7.618757577838669803e+00 1.177054143557452015e+01 -5.707564688397881447e+00 1.452625994610954763e+01
-9.444538240859428697e+02 5.238265493820566832e+00 4.170017225264373018e+00 8.407781060245824278e+00 8.068064984107772730e+00
-9.434537935665018722e+02 -6.448587174343428430e+00 7.765060852805566682e+00 -3.185310281390361098e+00 -2.367321099028380615e+00
-9.424537630470608747e+02 -7.302901059542808326e+00 9.520017170330044465e+00 -6.333200857595854272e-01 -6.896268388901605206e+00
-9.414537325276201045e+02 1.149757498917959708e+01 9.945672132791026243e+00 7.475112080204120879e+00 -2.043488637025157928e+00
-9.404537020081793344e+02 1.544127632783858139e+01 1.418807069532755172e+01 3.179626744793276227e+00 -3.877362460500128449e+00
-9.394536714887383368e+02 1.424996922405739141e+01 6.611153803645475335e-01 5.179827593235820871e+00 -5.386547971396173473e+00
-9.384536409692973393e+02 5.558069511702515619e+00 7.338844340261326593e+00 -1.189579266862005902e+01 -3.390062538324396524e+00
-9.374536104498565692e+02 3.272913827838762391e+00 -2.269109104619749129e+00 1.011426281877419875e+01 3.295628205128465549e+00
-9.364535799304157990e+02 3.434301323260432248e+00 7.016289972929520502e+00 1.385188456631150311e+00 2.582009296045523428e+00
