# time[us], force_in1[N], force_in2[N], force_out1[N], force_out2[N]
-9.384536409692973393e+02 -3.923994448258235845e+00 2.673903972816193786e+01 -1.717244292114380499e+01 -6.339633303657366881e+00
-9.374536104498565692e+02 -3.722392711702278589e+00 2.519898862717135302e+01 -1.030762625142446431e+01 -1.011166099432914400e+01
-9.364535799304157990e+02 -4.529197556092540822e+00 -6.312675021889139870e+00 2.176466759738801571e+01 -6.746697234253991482e+00
-9.354535494109748015e+02 -1.438486981926254415e+01 8.932848165259400730e+00 -1.436303631444487117e+01 -9.907594122416355731e+00
-9.344535188915338040e+02 8.258485711825995779e-01 -6.953263278388090107e+00 1.331299459792737672e+01 -1.754815018313056418e+00
-9.334534883720930338e+02 2.796903444180841802e+00 9.788369715796266135e+00 -1.268250940774117907e+01 6.398281502893703454e-01
-9.324534578526522637e+02 6.940614926741146995e+00 5.990185345950787443e+00 3.401965280194829244e+00 2.320955864284020287e-01
-9.314534273332112662e+02 8.911139268857503737e+00 -1.710631709079476925e+00 -3.207282804707900503e+00 -1.754815018313056418e+00
-9.304533968137702686e+02 2.797301342345591468e+00 1.123211497765408673e+01 -1.690450811447948354e+01 -1.550614419750256268e+00
-9.294533662943294985e+02 8.910874003414667399e+00 1.817587458657723198e+00 6.397493131897065144e-01 2.831206806898178385e+00
-9.284533357748887283e+02 2.391975745690406718e+00 -1.709368221395640486e+00 -2.123603777666924763e+00 4.817716231684078920e+00
-9.274533052554477308e+02 6.247773655082413669e-01 9.146517971610339970e+00 -8.240050814996587647e+00 4.408512674643419338e+00
-9.264532747360067333e+02 7.143675623233489702e+00 3.686847295451317841e+00 5.732358465969975114e+00 6.407642368582615600e-01
-9.254532442165659631e+02 8.707150143315725899e+00 -9.038158346826088874e+00 7.190293379444554489e+00 4.360287316849509320e-01
-9.244532136971251930e+02 4.971019013674227160e+00 -1.707683571148433055e+00 -1.906839544163150491e+00 -1.959817976793739369e+00
-9.234531831776841955e+02 6.940614926741146995e+00 6.631194765011322545e+00 -6.346313186813867802e+00 8.463021019466328010e-01
-9.224531526582431979e+02 6.940614926741146995e+00 1.815622033368268218e+00 4.059365004760456586e+00 4.407175408116145832e+00
-9.214531221388024278e+02 4.563969191641094270e+00 3.109152648180243173e+00 1.140987569800573809e+01 1.052241146993385668e+00
-9.204530916193616576e+02 6.257057945576773861e-01 1.561487298328551709e+01 -1.688938186811484776e+00 1.118470961659907026e+01
-9.194530610999206601e+02 4.767693051740035770e+00 1.598863701562197814e+00 6.390184611973795725e+00 6.802888389943702485e+00
-9.184530305804796626e+02 3.951206018685562871e+00 -7.956893663157264207e+00 1.453426561056428667e+01 5.023521550078703157e+00
-9.174530000610388925e+02 -1.417584065030715301e+01 2.459770887643432502e+01 -2.445884825746460578e+01 7.008559981685199780e+00
-9.164529695415981223e+02 4.767693051740035770e+00 -1.285122379385714630e+01 4.466577333198630839e+01 9.199403731686320640e+00
-9.154529390221571248e+02 -6.710475292544502146e+00 -7.304934017491234499e+00 5.214824974696103510e+00 2.626872481686071570e+00
-9.144529085027161273e+02 -5.278307166665266337e+00 4.896987723024288641e+00 5.042894348101610857e-01 9.199403731686320640e+00
-9.134528779832753571e+02 -1.925054638696777898e-01 -7.519165373927538809e+00 3.321940189402301957e+00 4.611242280026814910e+00
-9.124528474638345870e+02 -7.655085534487108490e+00 1.057889184430182183e+01 -1.223434047119724255e+01 4.611108553374978491e+00
-9.114528169443935894e+02 2.389720989425796915e+00 -3.785138100995993238e+00 4.418127578766020136e+00 -1.754815018313056418e+00
-9.104527864249525919e+02 -1.751072573260211929e+00 1.834639297161177751e+01 -1.588095451089854748e+01 2.833747613301423218e+00
-9.094527559055118218e+02 8.324802072497397010e-01 2.808021416493577949e+00 -6.914732970276753932e+00 5.024725089951854962e+00
-9.084527253860710516e+02 8.908088716265371687e+00 -1.988323470074961463e+01 2.137776120813974146e+01 4.196288476924658006e+00
-9.074526948666300541e+02 2.389190458540122908e+00 2.899413692402850629e+00 4.415853331070239030e+00 -3.531106145168409594e+00
-9.064526643471890566e+02 -2.162499275101346985e+00 8.711035882706347877e+00 -1.027558528780356806e+00 2.286186934590888897e-01
-9.054526338277482864e+02 -1.064860605690321016e+01 -2.571207210361233120e+00 6.964005733714163426e+00 6.435724965629424643e-01
-9.044526033083075163e+02 -1.282166056462495263e+01 3.336720819070988941e+00 -6.787801520756342910e+00 5.025393723214495623e+00
-9.034525727888665187e+02 -1.934055882234431678e+01 1.287380664355632831e+01 -7.791455457000736828e+00 9.407214949869862508e+00
-9.024525422694255212e+02 -1.396362829603544675e+01 -2.571628372923558281e+00 5.297124313185470612e+00 1.097435759201410654e+01
-9.014525117499847511e+02 3.007524205796343164e+00 -4.653294528390182094e+00 2.083754459528684766e+00 1.987138870765171872e-02
-9.004524812305439809e+02 4.561183904491798558e+00 2.683778460759496109e+00 -2.053975091570642775e+01 -6.136502518315298360e+00
-8.994524507111029834e+02 -2.164356133200217691e+00 1.809164207421683601e+00 -1.033932357868268781e+01 -1.338122768728360112e+00
-8.984524201916619859e+02 -6.096916323259347514e+00 -7.609855712238645431e+00 -3.574431667096247711e+00 7.633999536026439436e+00
-8.974523896722212157e+02 -6.096916323259347514e+00 -1.232013780342973952e+01 -3.241112239185650612e+00 1.316386407548712789e+01
-8.964523591527804456e+02 -2.888796057592355027e+00 1.243158595367065011e+01 -1.554905648780232497e+01 4.608968926932641708e+00
-8.954523286333394481e+02 1.563230242673941817e+01 -1.845310702838743566e+01 2.813995245058585226e+01 1.826666887611972517e-02
-8.944522981138984505e+02 8.698926914583990921e+00 -1.036771610193478299e+00 -3.244097189290069849e+00 -6.345517276372987681e+00
