# time[us], force_in[kN], force_out[kN], force_avg[kN]
-1.579998229872428738e+03 -1.483800381565668867e-02 -1.770515526147195106e-03 -8.304259670901941240e-03
-1.578998199352987740e+03 -1.515455692520634688e-02 -2.079635799448656831e-03 -8.617096362327502507e-03
-1.577998168833546970e+03 -1.467859771825392491e-02 -1.770553534295886194e-03 -8.224575626274904794e-03
-1.576998138314106200e+03 -1.483803290259128049e-02 -1.923346292032640514e-03 -8.380689597311960504e-03
-1.575998107794665202e+03 -1.515512896825405541e-02 -1.616097920054019883e-03 -8.385613444154038296e-03
-1.574998077275224205e+03 -1.499567439262676320e-02 -2.547174036493317188e-03 -8.771424214560039762e-03
-1.573998046755783434e+03 -1.467735667570982394e-02 -2.080148909456052547e-03 -8.378752792582938244e-03
-1.572998016236342664e+03 -1.436154043517087753e-02 -1.611888517586630579e-03 -7.986714476378754812e-03
-1.571997985716901667e+03 -1.452039388081575837e-02 -8.347549053817335035e-04 -7.677574393098745772e-03
-1.570997955197460669e+03 -1.499758443466740060e-02 -5.240382898351919790e-04 -7.760811362251296072e-03
-1.569997924678019899e+03 -1.547215716440243985e-02 -5.240382898351919790e-04 -7.998097727118815697e-03
-1.568997894158579129e+03 -1.515512896825405541e-02 -8.360376804000093157e-04 -7.995583324327032795e-03
-1.567997863639138131e+03 -1.515512896825405541e-02 -9.917190574371867982e-04 -8.073424012845621320e-03
-1.566997833119697134e+03 -1.499559682746775570e-02 -1.145376500556587749e-03 -8.070486664012171615e-03
-1.565997802600256364e+03 -1.499628521825397375e-02 -9.944746482173734067e-04 -7.995379933235673142e-03
-1.564997772080815594e+03 -1.467718215410213252e-02 -2.392794438548723115e-03 -8.534988296325428034e-03
-1.563997741561374596e+03 -1.452190640141637866e-02 -2.547069514084453288e-03 -8.534487957750415757e-03
-1.562997711041933599e+03 -1.531469989161974264e-02 -1.923659859259162393e-03 -8.619179875439452951e-03
-1.561997680522492828e+03 -1.531249898023290083e-02 -1.613741414835196276e-03 -8.463120197534049205e-03
-1.560997650003052058e+03 -1.499553865359857206e-02 -1.613009757972935602e-03 -8.304274205785753399e-03
-1.559997619483611061e+03 -1.467935397855423332e-02 -1.301656505935789134e-03 -7.990505242245010686e-03
-1.558997588964170063e+03 -1.483744146825389035e-02 -1.147476450771855744e-03 -7.992458959512872829e-03
-1.557997558444729293e+03 -1.483976842302407902e-02 -1.459589865782855416e-03 -8.149679144403466566e-03
-1.556997527925288523e+03 -1.578971862101902907e-02 -1.924315499824183571e-03 -8.857017060421606969e-03
-1.555997497405847525e+03 -1.531158758961458088e-02 -1.457290372787068116e-03 -8.384438981200824717e-03
-1.554997466886406528e+03 -1.452055870677868357e-02 -1.145937120749810408e-03 -7.833247913764246340e-03
-1.553997436366965758e+03 -1.483744146825389208e-02 -1.148322132080188381e-03 -7.992881800167040557e-03
-1.552997405847524988e+03 -1.483826559806829953e-02 -1.925892837994776447e-03 -8.382079218031537882e-03
-1.551997375328083990e+03 -1.499461756733533845e-02 -1.769413289835165479e-03 -8.382015428585251962e-03
-1.550997344808642993e+03 -1.436091021825398883e-02 -1.925911842069192789e-03 -8.143411030161591679e-03
-1.549997314289202222e+03 -1.436005700150491844e-02 -2.234756556292682560e-03 -8.297406778898799851e-03
